id,spoiler
0,"Woman Buys Doormat Off Amazon, Here’s What She Got Instead"
1,Something Unexpected Gave This Paralyzed Man His Life Back
2,"In the Digital Age, is shopping America's new religion?"
3,Snowshoer Who Fell Into Tree Well Survives After Hours Of CPR
4,This Rock Seems Out Of Place. When He Moves It? I Can’t Believe It Leads To THIS
5,Shah Rukh Khan Has BLOCKED Salman Khan Fans And Here Is The Reason Why
6,Giant Whales Found Dead In Germany. You Won't Believe What Killed The...
7,Which State Has the Rudest Drivers?
8,Michael Sam Comes Out As Gay: Missouri Football Star Could Be 1st Openly Gay NFL Player
9,'Empire' Star Jussie Smollett Comes Out
10,Did You Know The Lids From Plastic Cups Were Made To Do This?
11,People are very worried by this video of Donald Trump The list
12,Apple iPhone 7 Has Two Nasty Surprises
13,Angry protests in Gaza over crippling power shortages
14,The simple reason the Cavs can't win the NBA title
15,The One Strange Trick That Will Help You Live Longer: Have a Bunch of Money
16,You'll Never Guess How Much Money the Marvel Universe Has Grossed
17,Did You Know That This Plant From Your Garden Can Treat Hair Loss?
18,"WA bushfire contained after lives, homes threatened in Gwindinup, south-east of Bunbury"
19,Amy Schumer Takes On 'The Newsroom' And NAILS It
20,WATCH: Moment A Panther Leaps At A Man With No Glass To Protect Him
21,Can You Pick The Apple Logo From This Line-Up?
22,Meryl Streep Marries!
23,Mother bus pork joint looks like something quite different
24,Unusual jobs CEOs had before they became successful
25,Viralands - Have you Ever Wondered What the Purpose of the Small Pock...
26,Game of Thrones: Did you catch this subtle change during the finale?
27,Apple Files New Patent And You Won’t Believe What It Is For : Tech : ...
28,7 transcendental festivals out in the middle of nowhere
29,Adele has to give this up to save her voice
30,"Charles Barkley laughs off LeBron James' barbs, stands by critique of Cavaliers star"
31,Amazon Prime Just Got Way Better With A Ton Of Old HBO Shows
32,Jennifer Lawrence Knows Exactly What She Would Say If She Ever Met Donald Trump
33,"After Barely Recognizing Herself In A Family Photo, Delores Curtis Lost 181 Pounds"
34,Keeping Legal Drinking Age At 21 Saves 900 Lives Yearly: Study
35,Stunning Moment Woman's Jewelry Is Stolen as Thieves Hug Her
36,Bizarre things about the Olsen twins that make no sense
37,Why Are Cats So Insanely Afraid Of Cucumbers?
38,"The Jump 2017 line-up confirmed by Channel 4: Sir Bradley Wiggins, Lydia Bright and Louis Smith hitting the slopes"
39,Donald Trump just made an extremely important promise. It’s one of his worst yet.
40,Does Your IQ Correlate With The Rap Music You Listen To? by @PaulDickerson18
41,Many Young Americans Blame Colleges For Rising Student Debt
42,The Daily Show's Jordan Klepper is getting a late night spinoff series
43,Jennifer Garner Decides on Ben Affleck Divorce: To Split or Reconcile?
44,"Something Crazy Is Happening to Swiss Bonds, and It’s a Sad Sign for the World Economy"
45,'Community' Star Laments 'Arsenio Hall Show' Cancellation
46,Tell Me It's Not Pika-True!? This Classic Pokemon Gets A New Name!
47,7 Reasons Why You Should Never Eat Ketchup
48,"Jose Jose, Mexican Singer, Falls Off Stage During Anniversary Concert (VIDEO)"
49,"Why I Won't Buy One Extra Box Of Kleenex For My Kid's School Supplies. Signed, A Frustrated Parent"
50,Tina Fey Reveals One Of Her 'SNL' Cast Members Called Her The C-Word Over Voicemail (UPDATE)
51,The Medium is The (Text) Message
52,Here's what happens if you never wash your jeans
53,A University Recognizes a Third Gender: Neutral
54,Photographer Captures Newborn Smiling In Her Recently Deceased Father’s Gloves
55,Nerd Wins Scrabble Championship With Word You’ve Never Heard Of
56,Why You Should Drink Milk Before A Road Trip
57,"If you're a millennial couple, chances are you flat-out ROCK at this"
58,The World Interior Of The Year Will Make You Believe In The Power Of Good Design (PHOTOS)
59,Not Able To Sleep Well At Night? Here Are 6 Things People Actually Do For A Good Night's Rest
60,How Trump won Florida
61,Hillary Clinton Is Advertising in Deep-Red Nebraska. Here’s Why
62,School Van Driver Held For Raping Minor Girls In His Car For Over 6 Months
63,The Real Purpose Of This Part Of The Chopsticks Will Blow Your Mind
64,"Shoveling Snow Can Kill Men, Canadian Study Finds"
65,WWE Legend Pat Patterson Comes Out As Gay
66,Scarlett Johansson's SAT Score Is Now Public Knowledge
67,"What Will Humans Look Like 100,000 Years From Now?"
68,Is Buying Organic Really Worth It?
69,Arizona Senators Want To Make It Easier To Legislate Behind Closed Doors
70,Oregon militia leader complains about no Internet in jail cell
71,Chick-fil-A Just Dropped A BOMB On Black Lives Matter...Police Officers Are Pumped!
72,"Waiter-less, cashier-less restaurant is the stuff of the future"
73,The secret to being successful is a lot easier than you think The list
74,World Series: Here’s How the Chicago Cubs Won Game 7
75,'Breaking Bad' On Netflix: The Final Episodes Arrive On ...
76,Parents Who Bring Forgotten Lunch to School See Shocking Orders Posted on Door
77,If You See This In A Public Washroom LEAVE Immediately And Call 911.
78,Microsoft Applicant Shares Crazy Hard Interview Question That Left Him Stumped
79,"Radiohead Announce New Album Release Date, Share ""Daydreaming"" Video"
80,Here's How Much You're Going To Spend On The Holidays This Year
81,"EA ""Absolutely Rejected"" Battlefield 1’s World War 1 Setting Before This Made It Change Its Minds"
82,Gosselin: I can see Cowboys QB Tony Romo playing all 16 games this year if this happens
83,5 Video Games That Are Taking Forever to Come Out
84,Why You Can't Eat the Best Chocolate Crinkles in Manila
85,Are You Reading The Wrong Books? What Science Is Saying About Fiction Readers
86,Richard Belzer Leaving 'Law & Order: SVU': Munch Is Retiring
87,Former NBA Player Found Dead After Tripping and Falling Into Pool
88,The real reason people write so much about Mad Men: you keep clicking
89,Cecily Strong Joining Weekend Update Desk On 'SNL' (UPDATED)
90,'Star Wars' Day Playlist Is Basically An Excuse To Listen To John Williams
91,"Sadly, This Is The Top Vegetable 1-Year-Olds In America Eat"
92,Where The Wealthiest Women Celebrities Go On Vacation
93,How Free DLC Helped Turn A Small Steam Game Into A Hit
94,This Is What Happens When You Leave A Hotel Cleaner A $500 Tip (VIDEO)
95,Studio Ghibli solves one of Spirited Away's biggest mysteries
